cell_line_name,CCLE_Name,alias,COSMICID,sex,source,Achilles_n_replicates,cell_line_NNMD,culture_type,culture_medium,cas9_activity,RRID,WTSI_Master_Cell_ID,sample_collection_site,primary_or_metastasis,primary_disease,Subtype,age,Sanger_Model_ID,depmap_public_comments,lineage,lineage_subtype,lineage_sub_subtype,lineage_molecular_subtype,cell_line_name_og,depmap_id,stripped_cell_line_name
22RV1,22RV1_PROSTATE,22-RV1,924100,Male,ATCC,,,,,,CVCL_1045,1027,prostate,Primary,Prostate Cancer,Adenocarcinoma,,SIDM00499,,prostate,prostate_adenocarcinoma,,,22RV1,ACH-000956,22RV1
2313287,2313287_STOMACH,,910924,Male,DSMZ,2,-4.339057983,,RPMI + 10% heat inactivated FBS,78,CVCL_1046,558,stomach,Primary,Gastric Cancer,Adenocarcinoma,72,SIDM00980,,gastric,gastric_adenocarcinoma,,,23132/87,ACH-000948,2313287
253J,253J_URINARY_TRACT,,,Male,KCLB,1,-3.18037938,,DMEM + 10% FBS,89,CVCL_7935,,lymph_node,Metastasis,Bladder Cancer,Carcinoma,53,,,urinary_tract,bladder_carcinoma,,,253J,ACH-000011,253J
253JBV,253JBV_URINARY_TRACT,,,Male,KCLB,0,-1.685470537,Adherent,DMEM + 10% FBS,89,CVCL_7937,,lymph_node,Metastasis,Bladder Cancer,Carcinoma,53,,,urinary_tract,bladder_carcinoma,,,253J-BV,ACH-000026,253JBV
42MGBA,42MGBA_CENTRAL_NERVOUS_SYSTEM,,687561,Male,DSMZ,2,-3.904623994,Adherent,RPMI:EMEM (1:1) + 20% FBS,72.6,CVCL_1798,1465,central_nervous_system,Primary,Brain Cancer,Astrocytoma,63,SIDM00982,,central_nervous_system,glioma,astrocytoma,,42-MG-BA,ACH-000323,42MGBA
5637,5637_URINARY_TRACT,,687452,Male,ATCC,2,-4.053557218,Adherent,RPMI + 10% FBS,95.1,CVCL_0126,1157,urinary_tract,,Bladder Cancer,,68,SIDM00807,,urinary_tract,bladder_carcinoma,,,5637,ACH-000905,5637
639V,639V_URINARY_TRACT,,906798,Male,ATCC,1,-5.772209959,Adherent,DMEM + 10% FBS,79.7,CVCL_1048,1483,urinary_tract,Primary,Bladder Cancer,Transitional Cell Carcinoma,69,SIDM00999,,urinary_tract,bladder_carcinoma,bladder_transitional_cell,,639-V,ACH-000973,639V
647V,647V_URINARY_TRACT,,906797,Male,DSMZ,2,-4.624345928,Adherent,DMEM + 15% FBS + 2mM Glutamax,85.8,CVCL_1049,2061,urinary_tract,Primary,Bladder Cancer,Carcinoma,,SIDM00983,,urinary_tract,bladder_carcinoma,,,647-V,ACH-000896,647V
697,697_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,906800,Male,DSMZ,2,-3.463143117,Adherent,RPMI + 20% heat inactivated FBS,52,CVCL_0079,63,bone_marrow,Primary,Leukemia,"Acute Lymphoblastic Leukemia (ALL), B-cell",12,SIDM01076,,blood,ALL,b_cell,,697,ACH-000070,697
769P,769P_KIDNEY,,910922,Female,ATCC,2,-3.255788603,Adherent,RPMI + 10% FBS,83.3,CVCL_1050,1186,kidney,Primary,Kidney Cancer,"Renal Carcinoma, clear cell",63,SIDM00803,,kidney,renal_cell_carcinoma,clear_cell,,769-P,ACH-000411,769P
786O,786O_KIDNEY,,905947,Male,ATCC,3,-4.269089413,Adherent,RPMI + 10% FBS,63.5,CVCL_1051,301,kidney,Primary,Kidney Cancer,"Renal Carcinoma, clear cell",58,SIDM00125,,kidney,renal_cell_carcinoma,clear_cell,,786-O,ACH-000649,786O
8305C,8305C_THYROID,,906795,Female,DSMZ,2,-4.778517797,Adherent,RPMI + 15% FBS,91.4,CVCL_1053,433,thyroid,Primary,Thyroid Cancer,Carcinoma,67,SIDM00997,,thyroid,thyroid_carcinoma,,,8305C,ACH-001306,8305C
8505C,8505C_THYROID,,924102,Female,HSRRB,2,-3.184970925,,EMEM + 0.1% FBS,91,CVCL_1054,868,thyroid,Primary,Thyroid Cancer,Carcinoma,78,SIDM00996,,thyroid,thyroid_carcinoma,,,8505C,ACH-001307,8505C
8MGBA,8MGBA_CENTRAL_NERVOUS_SYSTEM,,687562,Female,DSMZ,2,-3.712431067,Adherent,EMEM + 20% FBS,54.3,CVCL_1052,1207,central_nervous_system,Primary,Brain Cancer,Astrocytoma,54,SIDM00998,,central_nervous_system,glioma,astrocytoma,,8-MG-BA,ACH-000137,8MGBA
A101D,A101D_SKIN,,910921,Male,ATCC,,,,,,CVCL_1057,1806,skin,,Skin Cancer,Melanoma,56,SIDM00801,,skin,melanoma,,,A101D,ACH-000008,A101D
A172,A172_CENTRAL_NERVOUS_SYSTEM,,687563,Male,ATCC,,,,,,CVCL_0131,1777,central_nervous_system,Primary,Brain Cancer,Glioblastoma,53,SIDM00799,,central_nervous_system,glioma,glioblastoma,,A-172,ACH-000558,A172
A204,A204_SOFT_TISSUE,,910784,Female,ATCC,,,,,,CVCL_1058,349,soft_tissue,Primary,Rhabdoid,Malignant Rhabdoid Tumor,1,SIDM00798,,soft_tissue,malignant_rhabdoid_tumor,,,A-204,ACH-000201,A204
A2058,A2058_SKIN,,906792,Male,ATCC,2,-5.190887114,Adherent,DMEM + 10% FBS,,CVCL_1059,652,lymph_node,Metastasis,Skin Cancer,Melanoma,43,SIDM00797,,skin,melanoma,,,A2058,ACH-000788,A2058
A253,A253_SALIVARY_GLAND,,906794,Male,ATCC,2,-3.854005864,Adherent,McCoy's 5A + 10% FBS,91.6,CVCL_1060,2089,upper_aerodigestive_tract,Primary,Head and Neck Cancer,"Squamous Cell Carcinoma, salivary gland",54,SIDM00796,,upper_aerodigestive,upper_aerodigestive_squamous,salivary_gland,,A-253,ACH-000740,A253
A2780,A2780_OVARY,,906804,Female,ECACC,2,-3.754090822,Suspension,RPMI + 10% FBS + 2mM Glutamine + 0.05/mL cisplatin,83.3,CVCL_0134,1245,ovary,Primary,Ovarian Cancer,"Adenocarcinoma, endometrioid",,SIDM00210,,ovary,ovary_adenocarcinoma,endometrioid,,A2780,ACH-000657,A2780
A375,A375_SKIN,,906793,Female,ATCC,2,-4.14102385,Adherent,DMEM + 10% FBS,90.4,CVCL_0132,953,skin,Primary,Skin Cancer,Melanoma,54,SIDM00795,,skin,melanoma,,,A-375,ACH-000219,A375
A3KAW,A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,910935,Female,HSRRB,2,-3.100243973,Suspension,RPMI + 10% FBS,71.8,CVCL_1062,1511,ascites,Primary,Lymphoma,Diffuse Large B-cell Lymphoma (DLBCL),,SIDM00495,,lymphocyte,non_hodgkin_lymphoma,DLBCL,,A3/KAW,ACH-000697,A3KAW
A498,A498_KIDNEY,,905948,Male,ATCC,,,,,,CVCL_1056,602,kidney,Primary,Kidney Cancer,Renal Cell Carcinoma,52,SIDM00124,,kidney,renal_cell_carcinoma,,,A-498,ACH-000555,A498
A4FUK,A4FUK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,910934,Female,JCRB,,,,,,CVCL_1064,186,ascites,Primary,Lymphoma,Diffuse Large B-cell Lymphoma (DLBCL),52,SIDM00502,,lymphocyte,non_hodgkin_lymphoma,DLBCL,,A4/FUK,ACH-000157,A4FUK
A549,A549_LUNG,,905949,Male,ATCC,4,-2.673234689,Adherent,F12 + 10% FBS,82.8,CVCL_0023,369,lung,Primary,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",52,SIDM00903,,lung,NSCLC,NSCLC_adenocarcinoma,,A549,ACH-000681,A549
A673,A673_BONE,,684052,Female,ATCC,2,-2.945665017,Adherent,DMEM + 10% FBS,67.2,CVCL_0080,660,soft_tissue,Primary,Bone Cancer,Ewings Sarcoma,15,SIDM00848,,bone,Ewing_sarcoma,,EWS_FLI,A-673,ACH-000052,A673
ACCMESO1,ACCMESO1_PLEURA,,,Female,RIKEN,2,-4.054069395,,RPMI + 10% FBS + Glutamax + Sodium pyruvate,78.6,CVCL_5113,,pleura,,Lung Cancer,Mesothelioma,61,,,lung,mesothelioma,,,ACC-MESO-1,ACH-000086,ACCMESO1
ACHN,ACHN_KIDNEY,,905950,Male,ATCC,,,,,,CVCL_1067,371,pleural_effusion,Metastasis,Kidney Cancer,Renal Cell Carcinoma,22,SIDM00123,,kidney,renal_cell_carcinoma,,,ACHN,ACH-000046,ACHN
AGS,AGS_STOMACH,,906790,Female,ATCC,2,-3.466935903,Adherent,F12K + 10% FBS,83.7,CVCL_0139,1011,stomach,Primary,Gastric Cancer,Adenocarcinoma,54,SIDM00850,,gastric,gastric_adenocarcinoma,,,AGS,ACH-000880,AGS
