cpd_id,master_cpd_id,cpd_name,broad_cpd_id,top_test_conc_umol,cpd_status,inclusion_rationale,gene_symbol_of_protein_target,target_or_activity_of_compound,source_name,source_catalog_id,cpd_smiles
16-BETA-BROMOANDROSTERONE,411726,16-BETA-BROMOANDROSTERONE,BRD-K98404142,37.0,probe,pilot-set,,dehydroepiandrosterone (DHEA) analog,Sigma-Aldrich,B9392,C[C@]12CC[C@H]3[C@@H](CC[C@H]4C[C@H](O)CC[C@]34C)[C@@H]1C[C@H](Br)C2=O
"1S,3R-RSL-3",609060,"1S,3R-RSL-3",BRD-K23853216,33.0,probe,pilot-set,GPX4,synthetic lethal with HRAS in engineered cells; inhibitor of GPX4,Columbia University,,COC(=O)[C@H]1Cc2c([nH]c3ccccc23)[C@@H](N1C(=O)CCl)c1ccc(cc1)C(=O)OC
3-CL-AHPC,660796,3-CL-AHPC,BRD-A09890259,66.0,probe,outreach,NR0B2,binder of nuclear receptor SHP,Sanford-Burnham Medical Research Institute,,OC(=O)\C=C\c1ccc(c(Cl)c1)-c1ccc(O)c(c1)C12C[C@H]3C[C@H](C[C@H](C3)C1)C2
968,660080,968,BRD-A43210826,66.0,probe,lit-search,GLS,inhibitor of glutaminase,Specs,AG-690/36107028,CN(C)c1ccc(cc1Br)C1Nc2ccc3ccccc3c2C2=C1C(=O)CC(C)(C)C2
A-804598,661033,A-804598,BRD-K76894955,66.0,probe,lit-search,P2RX7,inhibitor of purinergic receptor P2X,Tocris Bioscience,4473,C[C@H](\N=C(\NC#N)Nc1cccc2ncccc12)c1ccccc1
AA-COCF3,411724,AA-COCF3,BRD-K07303502,270.0,probe,pilot-set,FAAH;PLA2G4A;PLA2G4B;PLA2G4C;PLA2G4D,inhibitor of cytosolic phospholipase A2; inhibitor of fatty acid amide hydrolase,Cayman,62120,CCCCC\C=C/C\C=C/C\C=C/C\C=C/CCCC(=O)C(F)(F)F
ABIRATERONE,660363,ABIRATERONE,BRD-K50071428,17.0,FDA,std-of-care,CYP17A1,"inhibitor of 17 alpha-hydroxylase and C17,20 lyase",Selleck,S1123,C[C@]12CC[C@H]3[C@@H](CC=C4C[C@@H](O)CC[C@]34C)[C@@H]1CC=C2c1cccnc1
ABT-199,666541,ABT-199,BRD-K62391742,66.0,clinical,lit-search,BCL2,inhibitor of BCL2,Active Biochem,A-1231,CC1(C)CCC(CN2CCN(CC2)c2ccc(C(=O)NS(=O)(=O)c3ccc(NCC4CCOCC4)c(c3)[N+]([O-])=O)c(Oc3cnc4[nH]ccc4c3)c2)=C(C1)c1ccc(Cl)cc1
ABT-737,411738,ABT-737,BRD-K56301217,37.0,clinical,pilot-set,BCL2;BCL2L1;BCL2L2,"inhibitor of BCL2, BCL-xL, and BCL-W",Toronto Research Chemicals,A112550,CN(C)CC[C@H](CSc1ccccc1)Nc1ccc(cc1[N+]([O-])=O)S(=O)(=O)NC(=O)c1ccc(cc1)N1CCN(Cc2ccccc2-c2ccc(Cl)cc2)CC1
AC55649,375487,AC55649,BRD-K93176058,33.0,probe,chromatin;pilot-set,RARB,agonist of retinoic acid receptor beta,ChemBridge Corporation,5308535,CCCCCCCCc1ccc(cc1)-c1ccc(cc1)C(O)=O
AFATINIB,606135,AFATINIB,BRD-K66175015,66.0,clinical,kinome,EGFR;ERBB2,inhibitor of EGFR and HER2,Selleck,S1011,CN(C)C\C=C\C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]1CCOC1
AGK-2,411716,AGK-2,BRD-K32536677,33.0,probe,chromatin;pilot-set,SIRT2,inhibitor of sirtuin 2,ChemBridge Corporation;Tocris Bioscience,5857140;3233,Clc1ccc(Cl)c(c1)-c1ccc(\C=C(/C#N)C(=O)Nc2cccc3ncccc23)o1
ALISERTIB,636711,ALISERTIB,BRD-K75295174,66.0,clinical,CTEP;kinome,AURKA;AURKB,inhibitor of aurora kinases A and B,Selleck,S1133,COc1cc(Nc2ncc3CN=C(c4cc(Cl)ccc4-c3n2)c2c(F)cccc2OC)ccc1C(O)=O
