ds,y,region
2010-01-01,1065.00,Global
2010-02-01,1107.11,Global
2010-03-01,1144.37,Global
2010-04-01,1126.48,Global
2010-05-01,1080.74,Global
2010-06-01,1041.93,Global
2010-07-01,980.11,Global
2010-08-01,957.38,Global
2010-09-01,939.49,Global
2010-10-01,953.75,Global
2010-11-01,1018.86,Global
2010-12-01,1077.04,Global
2011-01-01,1141.23,Global
2011-02-01,1206.34,Global
2011-03-01,1220.60,Global
2011-04-01,1202.71,Global
2011-05-01,1179.97,Global
2011-06-01,1118.16,Global
2011-07-01,1079.34,Global
2011-08-01,1033.60,Global
2011-09-01,1015.71,Global
2011-10-01,1052.98,Global
2011-11-01,1095.08,Global
2011-12-01,1176.27,Global
2012-01-01,1240.46,Global
2012-02-01,1282.56,Global
2012-03-01,1296.83,Global
2012-04-01,1301.94,Global
2012-05-01,1256.20,Global
2012-06-01,1217.38,Global
2012-07-01,1155.57,Global
2012-08-01,1109.83,Global
2012-09-01,1114.94,Global
2012-10-01,1129.20,Global
2012-11-01,1194.31,Global
2012-12-01,1252.50,Global
2013-01-01,1236.68,Global
2013-02-01,1278.79,Global
2013-03-01,1316.05,Global
2013-04-01,1298.16,Global
2013-05-01,1275.43,Global
2013-06-01,1213.61,Global
2013-07-01,1151.80,Global
2013-08-01,1129.06,Global
2013-09-01,1111.17,Global
2013-10-01,1148.43,Global
2013-11-01,1190.54,Global
2013-12-01,1248.72,Global
2014-01-01,1415.91,Global
2014-02-01,1458.02,Global
2014-03-01,1472.28,Global
2014-04-01,1477.39,Global
2014-05-01,1431.65,Global
2014-06-01,1369.84,Global
2014-07-01,1331.02,Global
2014-08-01,1285.29,Global
2014-09-01,1290.40,Global
2014-10-01,1304.66,Global
2014-11-01,1346.77,Global
2014-12-01,1427.95,Global
2015-01-01,1492.14,Global
2015-02-01,1534.25,Global
2015-03-01,1571.51,Global
2015-04-01,1553.62,Global
2015-05-01,1530.88,Global
2015-06-01,1469.07,Global
2015-07-01,1407.25,Global
2015-08-01,1384.51,Global
2015-09-01,1366.62,Global
2015-10-01,1380.89,Global
2015-11-01,1445.99,Global
2015-12-01,1504.18,Global
2016-01-01,1628.37,Global
2016-02-01,1693.47,Global
2016-03-01,1707.74,Global
2016-04-01,1712.85,Global
2016-05-01,1667.11,Global
2016-06-01,1605.29,Global
2016-07-01,1566.48,Global
2016-08-01,1520.74,Global
2016-09-01,1525.85,Global
2016-10-01,1540.11,Global
2016-11-01,1582.22,Global
2016-12-01,1663.41,Global
2017-01-01,1667.59,Global
2017-02-01,1709.70,Global
2017-03-01,1746.96,Global
2017-04-01,1729.07,Global
2017-05-01,1683.34,Global
2017-06-01,1644.52,Global
2017-07-01,1582.71,Global
2017-08-01,1559.97,Global
2017-09-01,1542.08,Global
2017-10-01,1556.34,Global
2017-11-01,1621.45,Global
2017-12-01,1679.63,Global
2018-01-01,1743.82,Global
2018-02-01,1808.93,Global
2018-03-01,1823.19,Global
2018-04-01,1805.30,Global
2018-05-01,1782.56,Global
2018-06-01,1720.75,Global
2018-07-01,1681.93,Global
2018-08-01,1636.20,Global
2018-09-01,1618.31,Global
2018-10-01,1655.57,Global
2018-11-01,1697.68,Global
2018-12-01,1778.86,Global
2019-01-01,1843.05,Global
2019-02-01,1885.16,Global
2019-03-01,1899.42,Global
2019-04-01,1904.53,Global
2019-05-01,1858.79,Global
2019-06-01,1819.98,Global
2019-07-01,1758.16,Global
2019-08-01,1712.42,Global
2019-09-01,1717.53,Global
2019-10-01,1731.80,Global
2019-11-01,1796.90,Global
2019-12-01,1855.09,Global
2020-01-01,1619.28,Global
2020-02-01,1684.38,Global
2020-03-01,1698.65,Global
2020-04-01,1680.76,Global
2020-05-01,1658.02,Global
2020-06-01,1596.20,Global
2020-07-01,1534.39,Global
2020-08-01,1511.65,Global
2020-09-01,1493.76,Global
2020-10-01,1531.02,Global
2020-11-01,1573.13,Global
2020-12-01,1631.32,Global
2021-01-01,2168.50,Global
2021-02-01,2210.61,Global
2021-03-01,2224.87,Global
2021-04-01,2229.98,Global
2021-05-01,2184.25,Global
2021-06-01,2145.43,Global
2021-07-01,2083.62,Global
2021-08-01,2037.88,Global
2021-09-01,2042.99,Global
2021-10-01,2057.25,Global
2021-11-01,2099.36,Global
2021-12-01,2180.54,Global
2022-01-01,2094.73,Global
2022-02-01,2136.84,Global
2022-03-01,2174.10,Global
2022-04-01,2156.21,Global
2022-05-01,2133.47,Global
2022-06-01,2071.66,Global
2022-07-01,2009.84,Global
2022-08-01,1987.11,Global
2022-09-01,1969.22,Global
2022-10-01,2006.48,Global
2022-11-01,2048.59,Global
2022-12-01,2106.77,Global
2023-01-01,2170.96,Global
2023-02-01,2236.07,Global
2023-03-01,2250.33,Global
2023-04-01,2255.44,Global
2023-05-01,2209.70,Global
2023-06-01,2147.89,Global
2023-07-01,2109.07,Global
2023-08-01,2063.33,Global
2023-09-01,2068.44,Global
2023-10-01,2082.71,Global
2023-11-01,2124.81,Global
2023-12-01,2206.00,Global
