Plant Name,Group Match + Probabilities,Group Match + Probabilities -- updated algo,Driver 1,Driver 2,Notes/Fuel Blend,Source 1,Source 2,Source 3,Coal Retirement Date,Match?,Match Level and Explanation
Dolet Hills,"{4: 0.94, 5: 0.06}",{5: '100.0%'},Utility Cost reduction effort,High operating costs,,https://www.gem.wiki/Dolet_Hills_power_station,https://www.all4energy.org/watchdog/coals-expensive-last-days-in-louisiana-part-2/,,2021,Perfect Match,Plant's high operating costs and utility cost reduction efforts directly match Group 4's primary driver of high operating costs.
Martin Drake // South Plant,{7: 1.0},{7: '100.0%'},Aging infrastructure (100 yrs old),Sulfur-dioxide emissions violated federal standards.,,https://www.power-eng.com/coal/plant-decommissioning/historic-martin-drake-coal-fired-plant-retired-in-colorado-springs/,https://gazette.com/government/sulfur-dioxide-emissions-from-drake-plant-violated-federal-standards-attorney-says/article_88592c55-6b02-5796-b2f0-660a2fba401b.html,https://www.gem.wiki/Martin_Drake_Power_Plant,2021,Close Match,"Plant is retiring due to aging and transition to cleaner energy, but were previously in violation of federal air quality regulations and, as such, match the 'Air Quality Offenders' Group 7 archetype."
E D Edwards,{6: 1.0},{6: '100.0%'},Environmental violations leading to legal settlement,Settlement required plant closure by 2022,,https://en.wikipedia.org/wiki/E.D._Edwards_Power_Plant,https://www.nrdc.org/experts/jack-darling/edwards-coal-plant-retirement-victory-clean-air-and-health,https://www.wcbu.org/peoria-public-radio-news/2019-09-16/edwards-coal-plant-will-close-in-2022-under-proposed-settlement,2022,Close Match,Plant closed due to legal settlement from environmental violations. This aligns well with Group 6's 'Political Opposition' (manifested as regulatory and legal action) and indirectly with 'State-driven climate goals' which often underpin such environmental standards.
Lowman Energy Center,{0: 1.0},"{0: '51.8%', 4: '29.4%', 2: '8.2%', 3: '5.2%', 6: '2.8%', 5: '1.2%', 7: '1.0%', 1: '0.4%'}",Aging infrastructure,Coal Ash Pond Violation,Fuel Blend (Natural Gas),https://www.southalabamian.com/articles/lowman-power-plant-closing,https://www.southalabamian.com/articles/lowman-power-plant-closing/,https://www.gem.wiki/Charles_R._Lowman_Power_Plant,2020,Perfect Match,Plant's aging infrastructure and coal ash pond violation directly match Group 0's primary drivers. The fuel blend note reinforces this.
Waukegan,{4: 1.0},"{6: '28.6%', 4: '27.2%', 0: '27.0%', 3: '8.2%', 2: '3.6%', 5: '3.4%', 1: '1.0%', 7: '1.0%'}","""Poor financial results""","""Economic pressures + utility transition away from coal",,https://www.lhsdoi.com/24505/news/coal-fired-waukegan-generating-station-shutting-down-next-month,https://www.gem.wiki/Waukegan_Generating_Station,,2022,Perfect Match,"Plant's poor financial results and economic pressures directly align with Group 4's high operating costs, and the utility transition matches secondary drivers."
Escalante,{4: 1.0},"{4: '47.8%', 0: '30.2%', 3: '7.8%', 6: '5.2%', 2: '4.2%', 5: '2.8%', 7: '1.0%', 1: '1.0%'}",Economic In-viability & Renewable Competion,Fuel Conversion (to hydrogen),,https://tristate.coop/tri-state-announces-retirement-all-coal-generation-colorado-and-new-mexico,https://www.prnewswire.com/news-releases/clean-energy-project-proposed-for-retired-new-mexico-coal-fired-power-plant-301268200.html,,2020,Perfect Match,Plant's economic in-viability and competition from renewables align perfectly with Group 4's archetype of high operating costs making plants expensive and uncompetitive.
Will County,"{5: 0.07, 6: 0.93}",{5: '100.0%'},State-driven climate goals + renewable mandates,Economic difficulties -- bankrupt in 2012,also a utility carbon reduction target,https://insideclimatenews.org/news/18032022/last-gasp-for-coal-saw-illinois-plants-crank-up-emission-spewing-production-last-year/,https://www.gem.wiki/Will_County_Generating_Station,,2022,Perfect Match,"Plant's retirement driven by state climate goals, renewable mandates, and economic difficulties directly aligns with Group 6's primary and secondary drivers."
Oklaunion,"{3: 0.95, 5: 0.05}",{5: '100.0%'},Economic In-viability & Renewable Competion,Aging infrastructure -- high retrofit costs,Planned conversion,https://www.utilitydive.com/news/aep-to-retire-oklaunion-coal-plant-due-to-renewables-gas-competition/533164/,https://www.texomashomepage.com/news/local-news/frontier-energy-buys-oklaunion-aep-power-plant-plans-to-convert-to-natural-gas/,https://www.texomashomepage.com/news/local-news/frontier-energy-buys-oklaunion-aep-power-plant-plans-to-convert-to-natural-gas/,2020,Partial Match,"Plant drivers are economic in-viability and aging/retrofit costs. Group 3 focuses on public health and environmental regulations. While high retrofit costs *could* be environmental, and economic issues *can* be a secondary factor in Group 3, the primary stated drivers for the plant do not strongly align with Group 3's primary focus on health impacts or direct regulatory pressure as the main cause."
Joppa Steam,"{2: 0.915, 6: 0.085}","{6: '55.6%', 2: '44.4%'}",Economic unviability and aging infrastructure,High maintenance costs and low efficiency,,https://www.gem.wiki/Joppa_Steam_Power_Plant,https://www.utilitydive.com/news/vistra-to-retire-1-3-gw-zimmer-coal-plant-in-ohio-five-years-early/603697/,https://www.gem.wiki/Joppa_Steam_Power_Plant,2022,Partial Match,"Plant drivers are economic and aging. Group 2's primary focus is political/regulatory pressure. While economic issues can be a secondary consequence in Group 2, the plant's stated reasons don't highlight the primary political/regulatory drivers of the archetype."
Bridgeport Station,{0: 1.0},"{0: '47.4%', 4: '31.4%', 3: '9.0%', 6: '4.4%', 2: '3.2%', 5: '2.2%', 1: '1.4%', 7: '1.0%'}",Aging infrastructure,Environmental justice concerns in disadvantaged communities,Fuel Blend (Natural Gas),https://www.prnewswire.com/news-releases/pseg-power-retires-bridgeport-harbor-station-coal-plant-effective-may-31-301302773.html,https://www.gem.wiki/Bridgeport_Harbor_Station,https://www.gem.wiki/Bridgeport_Harbor_Station,2021,Perfect Match,Plant's aging infrastructure and environmental justice concerns directly match Group 0's primary and secondary drivers. Fuel blend note is also consistent.
