Primary Retirement Driver,Secondary Retirement Driver,Financial Mechanism,Rough Categorization of Primary Retirement Drivers,Rough Categorization of Secondary Retirement Drivers,Reference Links
,,,,,
"not economic, due to EPA regulations around effluent limitations that would require expensive retrofits",conversion to natural gas,,Water pollution - compliance with new standard,Conversion to burning natural gas,"https://www.gem.wiki/Gaston_Steam_Plant#Conversion_to_Natural_Gas

https://www.spglobal.com/marketintelligence/en/news-insights/latest-news-headlines/regulators-approve-20-year-georgia-power-plan-outlining-fossil-unit-retirements-71266365

https://www.powermag.com/southern-will-close-more-than-half-of-coal-fleet/"
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
NA (nothing concrete found),,,Other,,
,,,,,
,,,,,
Coal not cost competitive compared to renewables,Air quality (PM emissions),IRA-driven renewable energy.- could not find info on trhe actual financing mechanisms being used to shut down this coal plant,Uneconomic - compared with renewables,Air pollution - previous violation,"https://www.utilitydive.com/news/xcel-retire-texas-coal-fired-power-plant-tolk/635437/

https://fingfx.thomsonreuters.com/gfx/legaldocs/klvykxlyqvg/Environmental%20Integrity%20Project%20v.%20Regan%20-%20Complaint.pdf"
,,,,,
utility carbon emissions target,pressure from regulators and env groups,,Emissions or clean energy target - utility or independent power producer,Pressure from external entities,"https://www.spglobal.com/marketintelligence/en/news-insights/blog/the-big-picture-2024-energy-transition-industry-outlook

https://www.cpr.org/2022/08/23/xcel-energy-clean-energy-projects/"
Regulatory pressure (orlando Utilities Commission) to retire coal,net zero carbon by 2050,,Pressure from external entities,Emissions or clean energy target - state or local,https://www.spglobal.com/marketintelligence/en/news-insights/blog/cleantech-edge-five-is-the-new-zero-for-energy-transition-debt
,,,,,
IPP changed business model to focus on clean energy,,,Emissions or clean energy target - utility or independent power producer,,"https://dailyenergyinsider.com/news/28327-talen-to-close-coal-fired-plants-as-it-transitions-to-renewable-energy-sources/

https://www.talenenergy.com/"
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
non-economic,state level SOX and NOx emissions standards for coal plants,,Uneconomic - compared with any alternatives,Air pollution - compliance with new standard,"https://www.republictimes.net/baldwin-power-plant-closing-by-2025/
https://www.northcountynews.org/vistra-shared-an-update-on-the-future-of-baldwin-power-plant/
https://www.spglobal.com/marketintelligence/en/news-insights/trending/GenQwvkQw_n0KS1n3BvAgg2"
,,,,,
,,,,,
,,,,,
Cost of operation exceeded the value customers received,Multiple environmental law violations (pollution),,,,"https://www.tristatehomepage.com/news/local-news/aes-indiana-to-retire-coal-at-petersburg-plant/

https://www.indianaenvironmentalreporter.org/posts/ipl-plans-early-retirement-of-two-coal-fired-units-at-petersburg-plant

https://www.indystar.com/story/news/environment/2022/02/25/aes-indiana-coal-free-indianapolis-power-energy-company-environment-news/6942160001/"
Coal not cost competitive compared to wholesale electricity prices in MISO and/or renewables,Utility coal retirement plans,,Uneconomic - compared with any alternatives,Other,"https://www.nipsco.com/our-company/news-room/news-article/NIPSCO-Begins-Work-to-Remove-Ash-Ponds-at-Michigan-City-Generating-Station

https://www.spglobal.com/marketintelligence/en/news-insights/trending/ahadrtfzsgnxhlcp0yzycg2"
,,,,,
,,,,,
Utility net zero by 2035,,,,,https://www.wboi.org/2023-04-28/centerpoint-energy-expects-to-go-coal-free-by-2027
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Regulatory requirements on river water intake,Utility's carbon emissions target,,,,"https://mpw.org/mpw-news/mpw-to-retire-coal-fired-generating-units-as-part-of-strategic-plan/

https://discovermuscatine.com/line-106-complete-mpw-responds-to-energy-generation-concern/"
,,,,,
,,,,,
,,,,,
,,,,,
Natural gas is cheaper alternative for reliability,"Not in compliance with federal ozone standards, largely beacuse of coal",,Uneconomic - compared with any alternatives,Air pollution - previous violation,https://www.lpm.org/news/2023-11-07/ky-regulators-approve-some-lg-e-coal-unit-retirements-new-natural-gas-unit
End of life,Meeting utility sustainability goals (coal phaseout target),,Other,Emissions or clean energy target - utility or independent power producer,"https://www.reuters.com/business/energy/tennessee-valley-authority-plans-shut-coal-plants-by-2035-2021-05-03/

https://www.powermag.com/tva-eyeing-coal-phaseout-by-2035-will-rely-on-nuclear/"
,,,,,
,,,,,
,,,,,
,,,,,
Utility's net zero target,Pressure from environmental NGOs over environmental violations,,Emissions or clean energy target - utility or independent power producer,Pressure from external entities,"https://www.publicpower.org/periodical/article/lansing-board-water-light-retires-last-coal-fired-plant

https://www.lansingstatejournal.com/story/news/local/2017/08/23/coal-burning-erickson-power-plant-go-offline-2025-bwl-says/593093001/"
utility carbon emissions targets,,,Emissions or clean energy target - utility or independent power producer,,"https://www.power-eng.com/coal/minnesota-power-plans-coal-exit-by-2035/#gref

https://www.mprnews.org/story/2021/01/12/minnesota-power-plans-to-be-carbonfree-by-2050"
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
likely air quality since it was converted to cofire with natural gas,,,Conversion to burning natural gas,Air pollution - compliance with new standard,https://www.gem.wiki/James_E._Rogers_Energy_Complex
state climate goals,replacement/retrofit with gas fired power plant,,Emissions or clean energy target - state or local,Conversion to burning natural gas,"https://www.bizjournals.com/charlotte/news/2021/12/14/duke-energy-marshall-steam-station-retrofit-gas.html

https://www.utilitydive.com/news/duke-backed-north-carolina-bill-would-reduce-emissions-61-by-2030-retire/601950/"
,,,,,
,,,,,
utility net zero target,EPA's effluent limitations guidelines and standards requiring compliance by 2028,,Emissions or clean energy target - utility or independent power producer,Water pollution - compliance with new standard,"https://www.argusmedia.com/en/news/2277171-more-us-coal-units-to-retire-because-of-epa-water-rule

https://aepcommunitytransition.com/closures/"
Not profitable (for many reasons),power producer's clean energy goals (net zero by 2050),,Uneconomic - compared with any alternatives,Emissions or clean energy target - utility or independent power producer,"https://local12.com/news/local/zimmer-and-miami-fort-power-plants-to-closehttps://local12.com/news/local/zimmer-and-miami-fort-power-plants-to-close

https://www.forbes.com/sites/scottcarpenter/2020/09/30/power-company-will-shut-all-of-its-illinois-and-ohio-coal-plants-by-2027/?sh=4899d796f3cd

https://www.utilitydive.com/news/vistra-retire-68-gw-coal-blames-irreparably-dysfunctional-miso-market/586113/"
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
"Clean Air Act Rules for haze, mercury, and other air toxics (agreement with EPA)",,,Air pollution - compliance with new standard,,https://www.oklahoman.com/story/business/information-technology/2012/04/24/proposed-settlement-would-retire-coal-units-at-oologah-power-plant/61078648007/
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
ash waste disposal and water pollution; related to power company's committment to ESG,conversion to natural gas,,Water pollution - unspecified,Conversion to burning natural gas,"https://www.dailyitem.com/the_danville_news/talen-moving-toward-converting-montour-plant-to-gas/article_60202c00-847c-11ec-b584-ef9d9ef88809.html

https://pennbizreport.com/featured/18153-talen-energy-to-stop-burning-coal-at-montour-facility-by-end-of-2025/"
,,,,,
,,,,,
Air Quality Compliance,"Renewable/Natural Gas Cost Competitiveness

Natural gas conversion",Revenue Bonds,Air pollution - compliance with new standard,Uneconomic - compared with any alternatives,"https://www.tva.com/newsroom/press-releases/tva-retiring-cumberland-continues-transition-to-clean-energy-future

https://www.tennessean.com/story/news/environment/2023/01/10/tennessee-valley-authority-to-replace-cumberland-coal-plant/69795832007/https://www.tennessean.com/story/news/environment/2023/01/10/tennessee-valley-authority-to-replace-cumberland-coal-plant/69795832007/

"
,,,,,
,,,,,
,,,,,
state level emissions target,state legislation closed plant,,Emissions or clean energy target - state or local,Other,https://www.king5.com/article/tech/science/environment/centralia-coal-burning-power-plant-shuts-down-closure-transalta-gregoire/281-f8e410db-c912-4c6c-99f8-9cd4a6687c0b
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Coal not cost competitive compared to renewables,climate/sustainability goals,,Uneconomic - compared with renewables,Other,"https://www.alliantenergy.com/cleanenergy/environmentalinitiatives/edgewaterredevelopment

https://www.sheboyganpress.com/story/money/business/2022/06/23/wisconsin-coal-plants-in-oak-creek-sheboygan-portage-stay-open-longer-due-energy-supply-fears/7705049001/"
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Settlement in lawsuit for violating Clean Air Act,,,Air pollution - previous violation,,https://www.arkansasonline.com/news/2021/mar/12/in-settlement-power-plants-to-shut-by-30/
EPA clean air or water standards (not specified) requiring costly retrofits for compliance,pressure to reduce carbon emissions (and potentially a utility carbon target),,Environmental regulations - unspecified,Pressure from external entities,"https://www.hometownregister.com/news/newton-power-plant-will-close-no-later-than-2027/article_67360f69-9acc-5fd9-bb48-d2a526867efc.html

https://www.mywabashvalley.com/top-news/newton-coal-plant-to-close-by-2027/

https://jcdailynews.com/vistra-announces-future-plans-to-close-newton-plant/"
,,,,,
Competition from co-ops offering clean electricity,Coal not cost competitive compared to renewables,,Other,Uneconomic - compared with renewables,https://coloradosun.com/2023/12/02/colorado-coal-plant-craig-closurfe-2028-tri-state/
,,,,,
Clean energy target,"Legal challanges over energy pricing - I think? HGard to find details on the original lawsuit, found a lot of info pertaining to the resulting settlement...",Debt securitization,Pressure from external entities,Conversion to burning natural gas,"https://www.utilitydive.com/news/dte-electric-coal-plant-retirements-renewable-storage-agreement-psc-irp/686917/

https://michiganadvance.com/2023/07/14/dte-reaches-settlement-on-energy-plan-agrees-to-retire-coal-plants-early/

https://www.sierraclub.org/press-releases/2022/01/settlement-agreement-between-dte-and-advocates-delivers-energy-efficiency"
,,,,,
Compliance with federal rules on coal ash ponds,,,Coal ash violations or compliance with new standard,,"https://www.wwno.org/coastal-desk/2022-04-12/to-cut-emissions-at-louisiana-coal-plant-utility-plans-to-build-900m-carbon-capture-facility

https://www.nola.com/news/business/a-louisiana-utility-hopes-to-get-more-time-to-close-its-4-coal-ash-ponds/article_2eda34c0-3350-11eb-91f9-efdc5d9bb7f8.html"
,,,,,
,,,,,
,,,,,
,,,,,
EPA effluent limitation rules that exempt plants planning to retire before 2028,net zero carbon by 2051,,Water pollution - compliance with new standard,Emissions or clean energy target - utility or independent power producer,"https://www.spglobal.com/marketintelligence/en/news-insights/latest-news-headlines/southern-co-plans-to-retire-repower-fossil-fueled-plants-67673301

https://magnoliatribune.com/2022/04/20/mississippi-powers-plant-daniel-in-jackson-county-slated-to-cease-operation-of-coal-fired-power-generation/"
,,,,,
,,,,,
Coal not cost competitive compared to renewables,Utility coal retirement plans,,Uneconomic - compared with renewables,Emissions or clean energy target - utility or independent power producer,"https://www.newsbug.info/rensselaer_republican/news/nipsco-need-to-delay-schahfer-closing-until-2025/article_6af9c081-5a1a-5431-84ba-778058fca38a.html

https://www.insideindianabusiness.com/articles/nipsco-announces-end-date-for-half-of-schahfer-power-plant

https://www.chicagotribune.com/suburbs/post-tribune/ct-ptb-nipsco-schahfer-units-close-st-0219-20210218-iidm6coorvhjrij5aepes3pmta-story.html"
climate/sustainability goals,,,Emissions or clean energy target - utility or independent power producer,,"https://www.sctimes.com/story/news/2019/05/20/sherco-coal-plant-close-2030-xcel-energy-central-minnesota/3743711002/

https://www.powermag.com/xcel-to-retire-two-units-at-its-largest-coal-fired-plant/"
,,,,,
,,,,,
,,,,,
,,,,,
utility net zero target,,,Emissions or clean energy target - utility or independent power producer,,https://www.spglobal.com/marketintelligence/en/news-insights/latest-news-headlines/duke-energy-targets-less-than-5-coal-by-2030-total-exit-by-2035-68821426
,,,,,
coal ash disposal compliance,conversion to burning natural gas,,Coal ash violations or compliance with new standard,Conversion to burning natural gas,"https://www.ualrpublicradio.org/local-regional-news/2021-12-19/swepco-plans-for-coal-plant-retirements-renewable-energy-capacity-additions

https://www.swepco.com/company/news/view?releaseID=5847"
,,,,,
violation of clean air laws; regulation-mandated pollution (SOx) controls (scrubbers) are too costly,,debt securitization,Air pollution - previous violation,,https://missouriindependent.com/2023/11/28/ameren-seeks-to-shutter-missouri-coal-plant-early-recoup-investment-from-ratepayers/
,,,,,
Air Pollution Legal challanges - SO2,Financial - either install more pollution controls or shut down,,Air pollution - compliance with new standard,,https://www.spglobal.com/marketintelligence/en/news-insights/latest-news-headlines/aep-sets-retirement-date-for-massive-rockport-coal-unit-in-indiana-52918711
environmental compliance with pollution controls,Utility climate goals,,Environmental regulations - unspecified,Emissions or clean energy target - utility or independent power producer,"https://www.knau.org/knau-and-arizona-news/2023-08-23/srp-considers-future-of-the-coronado-generating-station
https://kjzz.org/content/1775480/srp-explores-cleaner-options-coal-power-plant-eastern-arizona"
Too expensive to comply with EPA rules for disposal of coal ash and toxic metals in wastewater discharge.,Not economically competitive with other technologies,,Coal ash violations or compliance with new standard,Water pollution - compliance with new standard,"https://www.victoriaadvocate.com/counties/goliad/coleto-creek-power-plant-shutting-down-by-2027/article_261596c8-342b-11eb-92e8-0f9c2d927a2b.html

https://www.victoriaadvocate.com/news/environment/coleto-creek-power-plant-avoids-new-epa-rule-because-of-impending-closure/article_2dea3c44-c440-11ed-ac7e-3f27dbd74fb4.html"
,,,,,
,,,,,
Pollution controls too expensive,,,Environmental regulations - unspecified,,"https://www.expressnews.com/business/article/deely-power-plant-ercot-18409046.php

https://insideclimatenews.org/news/21062011/cps-energy-shut-first-coal-plant-texas-solar-wind-epa/

https://en.wikipedia.org/wiki/J._T._Deely_Power_Plant#cite_note-closure-1"
,,,,,
coal ash pond federal rules compliance,,,Coal ash violations or compliance with new standard,,"https://www.gem.wiki/Brame_Energy_power_station#Unit_Retirement_Plans

https://www.wwno.org/coastal-desk/2022-04-12/to-cut-emissions-at-louisiana-coal-plant-utility-plans-to-build-900m-carbon-capture-facility"
,,,,,
Coal not cost competitive compared to renewables,Utility's carbon emissions target,,Uneconomic - compared with renewables,Emissions or clean energy target - utility or independent power producer,https://www.utilitydive.com/news/xcel-retire-texas-coal-fired-power-plant-tolk/635437/
Utility's carbon emissions target,replaced by cheap solar,,Emissions or clean energy target - utility or independent power producer,Uneconomic - compared with renewables,"https://sbj.net/stories/striving-for-sustainability-more-local-companies-opt-to-make-environmentally-friendly-investments,84926

https://www.gem.wiki/John_Twitty_Energy_Center#cite_note-2021news-4"
,,,,,
Coal not cost competitive compared to renewables,Utility phase out of coal in favor of lower carbon emitting technologies,,,,https://www.utilitydive.com/news/indianas-hoosier-energy-to-retire-its-1070-mw-coal-plant-by-2023/570812/
utility carbon emissions target,pressure from regulators and env groups,,Emissions or clean energy target - utility or independent power producer,Pressure from external entities,"https://www.spglobal.com/marketintelligence/en/news-insights/blog/the-big-picture-2024-energy-transition-industry-outlook

https://www.cpr.org/2022/08/23/xcel-energy-clean-energy-projects/"
enviornmental compliance (coal ash pond?) by 2028,replacement with natural gas,,Environmental regulations - unspecified,Conversion to burning natural gas,"https://www.santeecooper.com/global-news/2021/032221-Santee-Cooper-approves-new-contract-with-Century-Aluminum-sets-Winyah-retirement-deadline.aspx#:~:text=Santee%20Cooper%20anticipates%20retiring%20the,complies%20with%20new%20environmental%20regulations.

https://www.spglobal.com/marketintelligence/en/news-insights/trending/JSeaU6Qhcktgo4sbO3JpyQ2"
state net zero target by 2050; retring all coal by 2035,,,Emissions or clean energy target - state or local,,https://spectrumlocalnews.com/nc/charlotte/news/2023/01/10/nc-s-first-carbon-plan
,,,,,
EPA's effluent limitation guidelines that exempt coal fired plants that plan to close no later than end of 2028 from compliance with new standards,utility net zero goal by 2050,,Water pollution - compliance with new standard,Emissions or clean energy target - utility or independent power producer,https://www.spglobal.com/marketintelligence/en/news-insights/latest-news-headlines/southern-co-plans-to-retire-repower-fossil-fueled-plants-67673301
,,,,,
,,,,,
,,,,,
"Clean energy target for California (imported electricity from Utah); converting to 70% natural gas and 30% green hydrogen, increasing to 100% hydrogen by 2045",,The project was granted a $504 million DOE loan in 2022.[16],,,"https://www.sltrib.com/news/environment/2021/10/05/intermountain-power/

https://en.wikipedia.org/wiki/Intermountain_Power_Plant

https://www.ipautah.com/ipp-renewed/"
Settlement in lawsuit for violating Clean Air Act,too expensive to comply with Clean Air Act regioinal haze program,,Air pollution - previous violation,,https://www.arkansasonline.com/news/2021/mar/12/in-settlement-power-plants-to-shut-by-30/
,,,,,
Clean Air Act's regional Haze Rule (air quality in national parks),utility clean energy target by 2030,,Air pollution - compliance with new standard,Emissions or clean energy target - utility or independent power producer,"https://www.coloradoan.com/story/news/2020/12/03/colorado-rawhide-coal-plant-may-close-2-years-earlier-planned-renewable-energy/3812096001/

https://www.coloradoan.com/story/news/2020/06/16/platte-river-power-authority-plans-shut-down-rawhide-coal-plant-2030/3198448001/"
,,,,,
,,,,,
,,,,,
,,,,,
City (San Antonio) Carbon neutrality target,"Air quality (NOx, ozone)",,Emissions or clean energy target - state or local,Air pollution - compliance with new standard,"https://www.axios.com/local/san-antonio/2023/01/24/cps-energy-san-antonio-close-spruce-coal-plant

https://www.expressnews.com/business/article/CPS-Spruce-coal-plant-17062710.php

https://www.mysanantonio.com/sa-inc/article/Spruce-power-plant-16726545.php"
,,,,,
,,,,,
,,,,,
,,,,,
,economics - expensive coal power,,Uneconomic - compared with any alternatives,,"https://www.utilitydive.com/news/settlement-could-spell-early-retirement-for-utah-coal-plant/406974/

https://archive.sltrib.com/article.php?id=3032050&itype=CMSID"
Coal not cost competitive compared to renewables,state climate goal,,Uneconomic - compared with renewables,Emissions or clean energy target - state or local,"https://www.utilitydive.com/news/wisconsin-utilities-coal-retirement-miso-delay/626005/

https://www.alliantenergy.com/alliantenergynews/newsreleases/newsrelease020221"
,,,,,
,,,,,
,,,,,
,,,,,
utility and state carbon emissions target,regional haze plan,,Emissions or clean energy target - state or local,Air pollution - compliance with new standard,"https://www.spglobal.com/marketintelligence/en/news-insights/latest-news-headlines/colo-muni-committee-to-recommend-2-coal-fired-plant-closures-by-2023-2030-58909652

https://coloradosun.com/2020/11/23/three-coal-plants-shut-down-colorado/

https://www.csbj.com/news/daily/state-reverses-decision-on-early-closure-of-nixon-power-plant/article_b1a200e4-4094-11eb-9bd2-bb3255b59054.html"
,,,,,
