ds,y
1973-01-01,9007
1973-02-01,8106
1973-03-01,8928
1973-04-01,9137
1973-05-01,10017
1973-06-01,10826
1973-07-01,11317
1973-08-01,10744
1973-09-01,9713
1973-10-01,9938
1973-11-01,9161
1973-12-01,8927
1974-01-01,7750
1974-02-01,6981
1974-03-01,8038
1974-04-01,8422
1974-05-01,8714
1974-06-01,9512
1974-07-01,10120
1974-08-01,9827
1974-09-01,9110
1974-10-01,9070
1974-11-01,8633
1974-12-01,8213
1975-01-01,7836
1975-02-01,6892
1975-03-01,7954
1975-04-01,8281
1975-05-01,8269
1975-06-01,8870
1975-07-01,9387
1975-08-01,9018
1975-09-01,8448
1975-10-01,8456
1975-11-01,8163
1975-12-01,8034
1976-01-01,7717
1976-02-01,6966
1976-03-01,8025
1976-04-01,8275
1976-05-01,8909
1976-06-01,9299
1976-07-01,9439
1976-08-01,8945
1976-09-01,8553
1976-10-01,8743
1976-11-01,8640
1976-12-01,8263
1977-01-01,7859
1977-02-01,7323
1977-03-01,8129
1977-04-01,8369
1977-05-01,8870
1977-06-01,9302
1977-07-01,9480
1977-08-01,8939
1977-09-01,8681
1977-10-01,8459
1977-11-01,8623
1977-12-01,8162
1978-01-01,7717
1978-02-01,7064
1978-03-01,7836
1978-04-01,8124
1978-05-01,8265
1978-06-01,8701
1978-07-01,8967
1978-08-01,8583
1978-09-01,8034
1978-10-01,8488
1978-11-01,7870
1978-12-01,7975
