ORISPL,Plant Name,Retirement Date,UTLSRVID,ret_STATUS,Date of Last Unit or Planned Retirement,Total Nameplate Capacity (MW),Retiring Capacity,Average Capacity Factor,Generator Size Weighted Capacity Factor (%),Age,Generator Size Weighted Age,Summed Generator annual net generation (MWh),Age at Retirement,Percent Capacity Retiring,State,2022 SO2 Emissions (tons),2021 vs 2022 SO2 Emissions (%),2022 SO2 Emission Rate (lb/mmBtu),2022 NOX Emissions (tons),2022 NOX Emission Rate (lb/mmBtu),2022 CO2 Emissions (tons),2021 vs 2022 CO2 Emissions (%),2022 CO2 Emission Rate (lb/mmBtu),2022 Hg Emissions (lbs),2022 Hg Emission Rate (lb/TBtu),Facility has one or more low-emitting EGUs (LEE) units that do not report hourly emissions,eGRID subregion name,eGRID subregion coal generation percent (resource mix),eGRID subregion gas generation percent (resource mix),eGRID subregion wind generation percent (resource mix),eGRID subregion solar generation percent (resource mix),"Hospital Admits, All Respiratory",Infant Mortality,"Hospital Admits, Cardiovascular (except heart attacks)",$ Work Loss Days,$ Mortality (low estimate),$ Asthma Exacerbation,total population (ACS2018),National percentile for Demographic Index,National percentile for People of Color Population,National percentile for Low Income Population,National percentile for Population with Less Than High School Education,PM 2.5 Emssions (tons),PM 2.5 Emission Rate (lb/MWh),Mapped Fuel Type,coal_FUELS,Number of Coal Generators,NONcoal_FUELS,Total Cost of Emissions Control Equiptment Retrofits Installed since 2012 ($),Plant Coal Percentage (%),2020 Net Cashflow,Average Cashflow,Forward Costs,Coal Debt Securitization Policy,State coal generation percent (resource mix),State gas generation percent (resource mix),LAT,LON,Governor Party,Legislation Majority Party,Estimated percentage who somewhat/strongly oppose setting strict limits on existing coal-fire power plants,Change from 2018 to 2021 in trhe estimated percentage who somewhat/strongly oppose setting strict limits on existing coal-fire power plants,Average PM Results (lb/mmBtu),FIPS,Cheapest Renewable Resource,Difference between cheapest renewables and coal ($/MWh),Renewables or Coal,Percent difference,Sector,Utility Name,Ownership Type,Final Target Summary,Attainment Year,Interim Target(s) Summary,Mandatory or Voluntary Target,Target Scope
3,Barry,2023.0,195,2,2028.0,1192.5,1192.5,0.33,0.3706898113207547,53.0,52,3870545.0,57.0,1.0,AL,1331.492,-0.6554587,0.066748446,1635.398,0.081983425,4037549.18,-0.0339112,202.404621,16.3755508,0.410457807,,SERC South,0.192447136054513,0.515128812020862,0.0,0.0229345496863847,1.1688,0.0312,1.1622,99466.04,48098559.0,7864.05,273,52,60,38,66,317.51,0.060483015,Coal,"['BIT', 'BIT']",2,"['NG', 'NG', 'NG', 'NG', 'NG', 'NG']",9260000,0.311932606302006,-64366267.69405108,-54789397.13688733,46.630944,None,0.188471647732135,0.381459369107625,31.0069,-88.0103,Republican,Republican,39.525,6.729999999999997,0.02873333333333333,1097,local solar,26.808307,renewables,0.5749038020761492,Electric Utility,Alabama Power Co,Investor Owned,,,,,
26,E C Gaston,2028.0,195,2,2028.0,952.0,952.0,0.411,0.411,49.0,49,3424914.0,54.0,1.0,AL,465.077,-0.4573216,0.028914439,1574.353,0.097879564,2894556.08,-0.2576668,179.958297,7.63366756,0.237297496,,SERC South,0.192447136054513,0.515128812020862,0.0,0.0229345496863847,0.6671,0.0159,0.6676,55850.36,26894514.26,4292.16,2416,40,40,48,72,91.36,0.048122899,Coal,['BIT'],1,"['NG', 'NG', 'NG', 'DFO', 'NG']",347483000,0.685067544161894,,,57.174305,None,0.188471647732135,0.381459369107625,33.244211,-86.458056,Republican,Republican,45.749,6.417000000000002,0.008400000000000001,1117,local solar,37.14473099999999,renewables,0.6496752518460871,Electric Utility,Alabama Power Co,Investor Owned,,,,,
59,Platte,,40606,0,,109.8,0.0,0.439,0.439,41.0,41,422232.0,,0.0,NE,451.59,0.030133674,0.157179798,533.853,0.185812146,602654.142,0.001236978,209.758977,2.26911007,0.394891676,,MRO West,0.396297125282506,0.106366573063201,0.345720184405131,0.00918344126568264,0.1793,0.0054,0.1771,19607.81,8805322.21,1572.72,2887,38,36,49,40,0.008507809,4.70014e-05,Coal,['SUB'],1,0,42000000,0.998869746961078,-3486692.90694851,-472608.7315285101,34.888522,None,0.49942375033099,0.0309505875479779,40.854765,-98.348222,Republican,Republican,42.191,7.330000000000005,0.002000000000000001,31079,local wind,20.901475,renewables,0.5990931630752372,Electric Utility,City of Grand Island - (NE),Municipal,,,,,
60,Whelan Energy Center,,8245,0,,324.3,0.0,0.5135,0.4576432315757014,27.0,19,1299367.0,,0.0,NE,2670.387,0.078318164,0.329226335,957.788,0.118083646,1701382.02,0.145521215,209.759771,15.6725979,0.966120633,,MRO West,0.396297125282506,0.106366573063201,0.345720184405131,0.00918344126568264,0.6114,0.0172,0.5973,65042.25,29387670.49,5186.14,2826,58,43,74,60,24.8939,0.054981276,Coal,"['RC', 'SUB']",2,0,2318000,0.998295201431386,-1772102.622559167,2266392.603730217,38.604322,None,0.49942375033099,0.0309505875479779,40.580872,-98.312437,Republican,Republican,45.568,6.829000000000001,0.008785000000000001,31001,regional wind,24.229986,renewables,0.6276495673204674,Electric Utility,City of Hastings - (NE),Municipal,,,,,
108,Holcomb,,18315,0,,348.7,0.0,0.524,0.524,40.0,40,1599571.0,,0.0,KS,1254.009,0.066204535,0.144166896,1701.238,0.195582489,1824554.36,0.029536866,209.75953,7.68013465,0.441472578,,SPP North,0.406092251624118,0.0951587877118475,0.373171816680638,0.00134979922573847,0.6186,0.0188,0.6168,71685.44,30860002.59,5771.07,0,0,0,0,0,38.41884,0.053056122,Coal,['SUB'],1,0,1330000,0.990810747782761,2922185.444509832,6180829.691503699,27.042224,Introduced,0.342851683252965,0.0470578987739339,37.9308,-100.9725,Democrat,Republican,40.81,4.618000000000002,0.0024,20055,local solar,11.177702,renewables,0.4133425564406242,Electric Utility,Sunflower Electric Power Corp,Cooperative,,,,,
113,Cholla,2025.0,803,2,2025.0,425.9,425.9,0.571,0.5164146513266025,52.0,48,1926547.0,63.0,1.0,AZ,1158.271,0.083645736,0.080371048,2581.76,0.179145257,2957243.62,0.180189523,205.199619,26.0541036,0.903931637,,WECC Southwest,0.15975769434659,0.467869115269809,0.0520281488097487,0.0598274555723869,1.0757,0.0338,1.0651,136378.29,54917235.8,10848.45,1644,54,57,47,26,197.09596,0.125140332,Coal,"['SUB', 'SUB']",2,0,9606000,0.998911829824017,7915536.893997522,7341957.717119829,36.13768,None,0.131792167085202,0.441896059332372,34.9394,-110.3033,Republican,Republican,38.52,4.529000000000004,0.0151,4017,local solar,22.322817,renewables,0.6177158301252321,Electric Utility,Arizona Public Service Co,Investor Owned,100% carbon-free electricity by 2050,2050.0,65% clean energy by 2030,Voluntary,Scope 1
130,Cross,,17543,0,,2390.1,0.0,0.34425,0.3514878456968328,24.5,24,7356688.0,,0.0,SC,2904.233,-0.2556562,0.070848321,2902.105,0.070796409,8411604.62,-0.0077666,205.199812,40.3677596,0.49238267,,SERC Virginia/Carolina,0.133767415643252,0.38051465823863,0.00443649094913329,0.0469564163160011,2.4217,0.0662,2.5217,245053.36,111004430.25,18502.84,1244,77,68,83,72,363.327502,0.116709698,Coal,"['RC', 'RC', 'RC', 'RC']",4,0,0,0.995417721800729,-108381820.4817755,-91280544.98978196,40.853217,Introduced,0.154803685749238,0.234607360018203,33.371506,-80.113235,Republican,Republican,40.966,4.843000000000004,0.007275,45015,local solar,21.905361,renewables,0.5361967210562634,Electric Utility,South Carolina Public Service Authority,State,,,,,
136,Seminole (FL),2023.0,21554,2,2023.0,714.6,714.6,0.522,0.522,39.0,39,3266042.0,39.0,1.0,FL,4942.147,-0.021711,0.15959511,1924.427,0.062144881,6354375.84,-0.0558415,205.199746,,,Yes,FRCC All,0.0774167343872345,0.735206632639374,0.0,0.0364281756334415,2.7552,0.0582,2.7269,222437.22,111914567.4,16537.26,1282,23,15,48,52,843.186,0.253616509,Coal,"['BIT', 'BIT']",2,0,7242000,0.996857227485849,-36108238.33773027,-22778232.75794075,34.829185,None,0.074678734025661,0.740780814427665,29.733056,-81.632778,Republican,Republican,46.524,7.457000000000001,0.02166666666666666,12107,regional solar,15.649726,renewables,0.4493279414950422,Electric Utility,Seminole Electric Cooperative Inc,Cooperative,,,,,
160,Apache Station,,796,0,,204.0,0.0,0.684,0.684,44.0,44,1222875.0,,0.0,AZ,290.283,0.450196835,0.040597966,1524.794,0.213252361,1402163.65,0.070874893,196.101708,9.38206309,0.656071279,,WECC Southwest,0.15975769434659,0.467869115269809,0.0520281488097487,0.0598274555723869,0.1313,0.0042,0.1298,16917.98,6735186.99,1359.68,107,52,36,73,60,284.8698,0.257752439,Coal,['SUB'],1,"['NG', 'NG', 'NG', 'NG', 'NG', 'NG']",7901000,0.443701451990045,,,41.631756,None,0.131792167085202,0.441896059332372,32.0603,-109.8931,Republican,Republican,40.886,6.460000000000001,0.008475,4003,local solar,27.816893,renewables,0.6681652582706336,Electric Utility,Arizona Electric Pwr Coop Inc,Cooperative,,,,,
165,GREC,,7490,0,,594.0,0.0,0.233,0.233,38.0,38,1214266.0,,0.0,,,,,,,,,,,,,SPP South,0.268210529244418,0.359958247099831,0.293684315700623,0.00411465547185108,0.1081,0.003,0.1083,10865.18,5023072.94,860.63,2322,62,55,69,63,119.23,0.096182003,Coal,['SUB'],1,"['NG', 'NG']",83993000,0.387576468414538,-1380808.69976856,-1242599.302850954,34.023944,None,0.13926152137152,0.419260864220978,36.190278,-95.2894,Republican,Republican,53.321,3.585999999999999,0.0,40097,regional wind,19.255358,renewables,0.5659355070652597,Electric Utility,Grand River Dam Authority,State,,,,,
