         209860 function calls (209764 primitive calls) in 0.284 seconds

   Ordered by: cumulative time
   List reduced from 233 to 50 due to restriction <50>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.001    0.001    0.284    0.284 /Users/jerryinyang/Code/bmad-dev/rustybt/scripts/benchmarks/run_production_profiling.py:268(run_walk_forward_workflow)
       80    0.018    0.000    0.252    0.003 /Users/jerryinyang/Code/bmad-dev/rustybt/scripts/benchmarks/run_production_profiling.py:99(simple_ma_crossover_backtest)
     1690    0.001    0.000    0.163    0.000 /Users/jerryinyang/Code/bmad-dev/rustybt/.venv/lib/python3.13/site-packages/polars/_utils/deprecation.py:84(wrapper)
     1690    0.004    0.000    0.161    0.000 /Users/jerryinyang/Code/bmad-dev/rustybt/.venv/lib/python3.13/site-packages/polars/lazyframe/opt_flags.py:312(wrapper)
     1690    0.005    0.000    0.155    0.000 /Users/jerryinyang/Code/bmad-dev/rustybt/.venv/lib/python3.13/site-packages/polars/lazyframe/frame.py:2184(collect)
     1690    0.143    0.000    0.143    0.000 {method 'collect' of 'builtins.PyLazyFrame' objects}
      805    0.002    0.000    0.118    0.000 /Users/jerryinyang/Code/bmad-dev/rustybt/.venv/lib/python3.13/site-packages/polars/dataframe/frame.py:5101(filter)
      800    0.003    0.000    0.072    0.000 /Users/jerryinyang/Code/bmad-dev/rustybt/.venv/lib/python3.13/site-packages/polars/dataframe/frame.py:5696(sort)
      805    0.001    0.000    0.019    0.000 /Users/jerryinyang/Code/bmad-dev/rustybt/.venv/lib/python3.13/site-packages/polars/lazyframe/frame.py:4145(filter)
      805    0.004    0.000    0.017    0.000 /Users/jerryinyang/Code/bmad-dev/rustybt/.venv/lib/python3.13/site-packages/polars/lazyframe/frame.py:4060(_filter)
        1    0.009    0.009    0.014    0.014 /Users/jerryinyang/Code/bmad-dev/rustybt/scripts/benchmarks/run_production_profiling.py:43(create_synthetic_price_data)
