group,galaxy,ra,dec,filename
1,15,210.927048,-1.137346,img_1_15.jpeg
1,254,211.020782,0.998166,img_1_254.jpeg
1,368,209.399231,-0.143221,img_1_368.jpeg
1,1432,131.115585,51.447163,img_1_1432.jpeg
2,2053,229.601944,32.742622,img_2_2053.jpeg
2,4578,176.255005,14.47608,img_2_4578.jpeg
1,6809,212.720978,1.369397,img_1_6809.jpeg
1,11563,174.978165,3.054553,img_1_11563.jpeg
2,12345,205.853745,12.518266,img_2_12345.jpeg
4,15248,201.117096,18.23148,img_4_15248.jpeg
2,15420,194.252426,49.074078,img_2_15420.jpeg
2,18520,232.43869,27.118929,img_2_18520.jpeg
4,20763,192.414612,12.625293,img_4_20763.jpeg
1,23654,140.026764,47.221436,img_1_23654.jpeg
2,23658,181.49881,10.360068,img_2_23658.jpeg
4,28650,179.265366,21.407429,img_4_28650.jpeg
1,32874,177.717056,4.518072,img_1_32874.jpeg
4,42136,190.907364,17.933109,img_4_42136.jpeg
1,45125,134.666763,49.30088,img_1_45125.jpeg
4,46302,148.82164,24.927872,img_4_46302.jpeg
4,52413,192.979187,26.558268,img_4_52413.jpeg
2,54852,233.504868,29.229906,img_2_54852.jpeg
4,63246,169.911362,44.340736,img_4_63246.jpeg
2,65321,219.951035,41.046577,img_2_65321.jpeg
2,76469,168.293427,39.167614,img_2_76469.jpeg
2,79852,238.548569,21.56811,img_2_79852.jpeg
1,87502,140.757462,51.277439,img_1_87502.jpeg
2,91645,182.419159,48.642597,img_2_91645.jpeg
1,98652,142.558029,46.853474,img_1_98652.jpeg
4,100000,227.259003,24.918394,img_4_100000.jpeg
