"Name","Match Scores","Match to Archetype","Explanation"
"Dolet Hills","{4: 0.94, 5: 0.06}","Perfect Match","Plant's high operating costs and utility cost reduction efforts directly match Group 4's primary driver of high operating costs."
"Martin Drake // South Plant","{7: 1.0}","Close Match","Plant is retiring due to aging and transition to cleaner energy, but were previously in violation of federal air quality regulations and, as such, match the `Air Quality Offenders' Group 7 archetype."
"E D Edwards","{6: 1.0}","Partial Match","Plant closed due to legal settlement from environmental violations. This partially aligns with Group 6's `Political Opposition' (manifested as regulatory and legal action) and indirectly with `State-driven climate goals' which often underpin such environmental standards."
"Lowman Energy Center","{0: 1.0}","Perfect Match","Plant's aging infrastructure and coal ash pond violation directly match Group 0's primary drivers. The fuel blend note reinforces this."
"Waukegan","{4: 1.0}","Perfect Match","Plant's poor financial results and economic pressures directly align with Group 4's high operating costs, and the utility transition matches secondary drivers."
"Escalante","{4: 1.0}","Perfect Match","Plant's economic in-viability and competition from renewables align perfectly with Group 4's archetype of high operating costs making plants expensive and uncompetitive."
"Will County","{5: 0.07, 6: 0.93}","Perfect Match","Plant's retirement driven by state climate goals, renewable mandates, and economic difficulties directly aligns with Group 6's primary and secondary drivers."
"Oklaunion","{3: 0.95, 5: 0.05}","Partial Match","Plant drivers are economic in-viability and aging/retrofit costs. Group 3 focuses on public health and environmental regulations. While high retrofit costs match the environment regulations focus and secondary economic driver of group 3, the primary stated drivers for the plant do not strongly align with Group 3's primary focus on health impacts or direct regulatory pressure."
"Joppa Steam","{2: 0.915, 6: 0.085}","Partial Match","Plant drivers are economic and aging. Group 2's primary focus is political/regulatory pressure. While economic issues can be a secondary consequence in Group 2, the plant's stated reasons don't highlight the primary political/regulatory drivers of the archetype."
"Bridgeport Station","{0: 1.0}","Perfect Match","Utility net zero target and replacement with natural gas are both aligned with Group 0's archetypes."
"Crawfordsville Power Plant","{6: 1.0}","Partial Match","Plant's retirement is due to aging infrastructure. While Group 6 includes `aging coal plants no longer cost-competitive' as a secondary driver, the primary drivers are political opposition and broader economic difficulties, which are not explicitly stated for the plant. Aging can contribute, but isn't the core of Group 6."
"C D McIntosh Jr","{0: 0.98, 1: 0.02}","Close Match","Plant's aging infrastructure and increasing operational costs align well with one of Group 0's primary drivers. The fuel blend note is also consistent. Lacks explicit mention of regulatory non-compliance for a perfect match."
"Lansing","{2: 0.095, 5: 0.07, 4: 0.835}","Close Match","Plant's retirement due to utility's clean energy transition plan and emissions reduction aligns well with Group 4's secondary drivers. While not explicitly stating 'high operating costs' as the primary reason, these transition plans often target such plants."
"R Gallagher","{2: 0.085, 4: 0.915}","Close Match","Plant's retirement due to an `Economic Decision' strongly suggests alignment with Group 4's core theme of high costs, making it expensive to operate. Lacks specific details for a perfect match."
"Elmer Smith","{4: 0.95, 5: 0.05}","Perfect Match","The explicit statements that the retirement is `purely economical' and due to `faltering economics' perfectly match Group 4's primary driver of high operating costs."
"Morgantown Generating Plant","{0: 1.0}","Perfect Match","Plant drivers of aging infrastructure, regulatory non-compliance, and coal ash pond violation are a perfect match for Group 0's primary and secondary drivers."
"Paradise","{4: 1.0}","Perfect Match","Plant's retirement due to environmental regulations, economic factors, and emissions reduction aligns perfectly with Group 4's primary (high operating/retrofit costs due to regulations) and secondary drivers (utility/state targets)."
"Dan E Karn","{0: 1.0}","Close Match","Plant's aging infrastructure and alignment with renewable targets match Group 0's primary driver of aging and secondary drivers related to clean energy transitions. The fuel blend note is consistent. Lacks explicit mention of regulatory non-compliance for a perfect match."
"Kenneth C Coleman","{3: 1.0}","Weak Match","Plant drivers are aging and economic factors. Group 3's primary focus is public health and environmental regulations. While economic difficulties can be a secondary factor in Group 3 if linked to compliance, the primary drivers stated for the plant do not align with Group 3's main archetype."
"St Clair","{2: 1.0}","Perfect Match","Plant's retirement due to failure to meet air quality standards (regulatory pressure), state climate goals, and renewable mandates directly aligns with Group 2's primary and secondary drivers."
"Chalk Point LLC","{0: 1.0}","Perfect Match","Plant's aging infrastructure and regulatory non-compliance (evidenced by water pollution violations) perfectly match Group 0's primary drivers."
"Trenton Channel","{0: 1.0}","Partial Match","Plant's `Utility Net Zero' goal aligns with Group 0 secondary drivers."
